"basin","forest_cover","basin_area_ha","cellnum","x","y","av_rain_mm","annual_rainGL","propro_forest","propro_uf","annual_runoffGL","sedyld_tons","groupID"
91,0.867118490266415,6347.61,20004838,670049.99999999,8141560,1997.33931264379,126.783309943308,0.370008682063972,0.587410881203923,50.5735345387832,2281.39875392754,7
92,0.947705189983411,2278.62,20020805,722099.99999999,8141500,2071.98446722463,47.2126524670739,0.383628769187107,0.59815224517644,18.6417852179232,695.484331697015,12
93,0.970262282970078,487.26,20063440,720269.99999999,8141320,2020.69873192676,9.84605664118632,0.374312024884142,0.590830286410466,3.74889378226201,131.555243421647,12
94,0.995116572148708,571.32,20078895,756959.99999999,8141260,1945.96024413635,11.1176600667998,0.360411715110536,0.579696447454079,4.01884040315013,130.711587124008,5
95,0.77984408904605,5599.35,20111607,670919.99999999,8141110,2217.23554448301,124.150778460009,0.409042559618573,0.617597524588648,56.4832865626741,2938.45876817785,7
96,0.983941334818528,969.57,20285453,762779.99999999,8140390,1952.42763879699,18.9301526574839,0.361629706029717,0.580682461071458,6.91229604114211,233.020540696212,4
97,0.842692992393591,556.11,20296382,663689.99999999,8140330,1897.07564426068,10.5498273652981,0.351112741464587,0.57209974958673,4.07092039934949,193.881589410873,7
98,0.352159268615422,1496.34,20417637,672179.99999999,8139820,1774.36816294773,26.550580569452,0.327055681145593,0.551845571532539,12.550027407896,1037.56795804859,7
99,0.970102596392459,12149.55,20547241,717659.99999999,8139280,2578.95007716761,313.330829100518,0.466293830452682,0.658981121520206,147.909284316494,5146.70076274435,12
100,0.985994625844801,1105.29,20895907,717119.99999999,8137810,1974.20251982467,21.8206630313701,0.365709435931804,0.583970355007775,8.04672433535401,269.452344822268,12
102,0.999120801828732,511.83,21514394,698969.99999999,8135200,1877.80430209406,9.61116575940802,0.347402025891486,0.569033486191182,3.34081126829057,107.228123444112,10
104,0.99025069637883,1421.64,21692284,698669.99999999,8134450,2335.40042745727,33.2009866369035,0.428672894635609,0.632136374083219,14.2982214277863,471.252224357339,10
105,0.984646730741526,4373.01,21692351,700679.99999999,8134450,2581.09128913476,112.871380182992,0.46660823898306,0.659200363417813,53.000467438442,1772.55292864938,10
106,0.982384929379372,19645.11,21920140,702989.99999999,8133490,2533.47330142529,497.70361688563,0.459550377888155,0.654259502387113,230.426916536155,7757.96986193954,10
107,1,849.87,21941305,697499.99999999,8133400,2136.68737571013,18.1590649999477,0.39512635017835,0.607041748977806,7.17512507608077,229.604002434585,10
108,0.896283540854559,9512.28,22033037,674219.99999999,8133010,2519.25922092897,239.638991020582,0.457416700504381,0.652757741695803,114.469981981984,4750.04556525849,11
109,0.993807326050126,1540.53,22261502,696809.99999999,8132050,2327.97566496164,35.8631635114335,0.427466552001872,0.631254131161976,15.375561805007,501.411010734135,10
113,1,954.54,22517610,694769.99999999,8130970,2258.87846352938,21.5618984857733,0.416066185757716,0.622844991012006,8.97117686067079,287.077659541465,10
114,0.7209510991476,1203.66,22524102,676049.99999999,8130940,1913.91275377362,23.0370022520715,0.354334000702513,0.574745275197183,9.57969606438176,554.096604831265,11
116,0.948628428927681,721.8,22774432,714149.99999999,8129890,1797.65753975386,12.9754921219434,0.3316995289095,0.555826435466621,4.45336121362692,167.330925773734,3
117,0.978639190802287,2865.06,22852585,710459.99999999,8129560,2041.19744031987,58.4815313836285,0.378057518300258,0.593786984305359,22.3788746387857,765.822331957866,3
118,1,847.17,22894734,694049.99999999,8129380,2185.15762107795,18.5119998184861,0.403552969740313,0.613459282823628,7.4705725025822,239.05832008263,10
120,0.947743300423131,2552.4,23164568,676829.99999999,8128240,2279.61310766122,58.184844959945,0.419520303137876,0.625406712380338,25.0357312978577,928.549201591481,11
122,0.930048189025338,578.97,23236194,690809.99999999,8127940,2039.21629183598,11.8064505648428,0.377696783711847,0.593502996897094,4.63748900144579,181.240622452839,10
127,0.995471808355244,616.14,24139496,677909.99999999,8124130,2327.16439049323,14.338590675585,0.427334521376438,0.631157485903893,6.14060857786961,199.245115839368,1
128,0.960018549802908,2717.01,24232346,688169.99999999,8123740,2069.43943533308,56.2268764019433,0.3831706784911,0.597794768508219,22.0269722152747,794.901851761564,2
131,0.958111366567599,1604.97,25007984,687989.99999999,8120470,2269.37996266079,36.4228675867169,0.417819160246361,0.624146606533108,15.5329665896774,560.856556365878,2
