"cells","groupID.1","groupID.2","groupID.3","groupID.4","groupID.5","groupID.6","groupID.7","groupID.8","groupID.9","groupID.10","groupID.11","groupID.12","groupID.13","groupID.14","groupID.15","groupID.16","groupID.17","groupID.18","groupID.19","groupID.20","groupID.21","groupID.22","groupID.23","groupID.24","groupID.25","groupID.26","groupID.27","groupID.28","x","y","wq"
1512,43987.8473754212,63007.6115491076,85797.0504868339,140784.607495607,136127.806287402,120473.535721284,29508.313825775,129011.89150761,111572.480973397,75971.0121189127,38990.8561010263,105375.653146376,40474.8377031978,31907.9869310258,46977.3044470187,53166.9910093105,76476.0965864889,82838.1885303829,115168.793378148,125867.496814353,134600.836950721,138321.748108983,108800.306928005,99548.5253995075,148226.429812131,166571.870016981,8576.37245847671,27495.003751709,664631.708092463,8153779.41724056,1.12476979567558
1565,71279.4301919684,90299.1943656546,113088.633303381,168076.190312153,163419.389103948,147765.11853783,56799.8966423223,156303.474324156,138864.063789944,103262.59493546,66282.4389175736,132667.235962923,82764.325388452,74197.4746162801,89266.7921322729,95456.4786945645,118765.584271743,125127.676215637,157458.281063401,168156.984499606,176890.324635974,180611.235794236,151089.794613259,141838.013084761,190515.917497384,208861.357702234,54422.2539435992,69784.4914369634,617817.417242686,8150638.66989109,0.737985466433752
1566,68063.9031437009,87083.6673173871,109873.106255113,164860.663263885,160203.86205568,144549.591489563,53584.3695940547,153087.947275889,135648.536741676,100047.067887192,63066.911869306,129451.708914656,79548.7983401845,70981.9475680126,86051.2650840053,92240.951646297,115550.057223475,121912.149167369,154242.754015134,164941.457451338,173674.797587706,177395.708745969,147874.267564991,138622.486036494,187300.390449117,205645.830653966,51206.7268953316,66568.9643886959,620938.369966005,8150638.66989109,0.754664662511064
1567,65250.3169764668,84270.0811501531,107059.520087879,162047.077096651,157390.275888446,141736.005322329,50770.7834268206,150274.361108655,132834.950574442,97233.4817199581,60253.3257020719,126638.122747422,76735.2121729504,68168.3614007786,83237.6789167713,89427.365479063,112736.471056241,119098.563000135,151429.1678479,162127.871284104,170861.211420472,174582.122578735,145060.681397757,135808.89986926,184486.804281883,202832.244486732,48393.1407280975,63755.3782214618,624059.322689323,8150638.66989109,0.775920134170055
1568,62034.7899281993,81054.5541018856,103843.993039612,158831.550048384,154174.748840179,138520.478274061,47555.2563785531,147058.834060387,129619.423526175,94017.9546716907,57037.7986538044,123422.595699154,73519.6851246829,64952.834352511,80022.1518685038,86211.8384307955,109520.944007974,115883.035951868,148213.640799633,158912.344235837,167645.684372205,171366.595530467,141845.15434949,132593.372820992,181271.277233615,199616.717438465,45177.61367983,60539.8511731943,627180.275412642,8150638.66989109,0.762972978591627
1569,58819.2628799318,77839.0270536181,100628.465991344,155616.023000117,150959.221791912,135304.951225794,44339.7293302856,143843.30701212,126403.896477907,90802.4276234232,53822.2716055369,120207.068650887,70304.1580764154,61737.3073042435,76806.6248202363,82996.311382528,106305.416959706,112667.5089036,144998.113751365,155696.81718757,164430.157323938,168151.0684822,138629.627301222,129377.845772725,178055.750185348,196401.190390198,41962.0866315625,57324.3241249267,630301.22813596,8150638.66989109,0.773531575297119
1570,55603.7358316642,74623.5000053506,97412.9389430767,152400.495951849,147743.694743644,132089.424177527,41124.202282018,140627.779963852,123188.36942964,87586.9005751556,50606.7445572693,116991.541602619,67088.631028148,58521.780255976,73591.0977719688,79780.7843342605,103089.889911439,109451.981855333,141782.586703098,152481.290139302,161214.63027567,164935.541433933,135414.100252955,126162.318724457,174840.22313708,193185.66334193,38746.5595832949,54108.7970766592,633422.180859279,8150638.66989109,0.792178186136719
1571,52790.1496644302,71809.9138381165,94599.3527758426,149586.909784615,144930.10857641,129275.838010293,38310.6161147839,137814.193796618,120374.783262406,84773.3144079216,47793.1583900353,114177.955435385,64275.0448609139,55708.1940887419,70777.5116047347,76967.1981670264,100276.303744205,106638.395688099,138969.000535864,149667.703972068,158401.044108436,162121.955266699,132600.514085721,123348.732557223,172026.636969846,190372.077174696,35932.9734160608,51295.2109094251,636543.133582597,8150638.66989109,0.759691106878245
1572,49574.6226161626,68594.386789849,91383.8257275751,146371.382736348,141714.581528143,126060.310962025,35095.0890665164,134598.666748351,117159.256214138,81557.7873596541,44577.6313417677,110962.428387118,61059.5178126463,52492.6670404743,67561.9845564672,73751.6711187589,97060.7766959371,103422.868639831,135753.473487596,146452.176923801,155185.517060169,158906.428218431,129384.987037453,120133.205508956,168811.109921579,187156.550126429,32717.4463677933,48079.6838611575,639664.086305915,8150638.66989109,0.794348106000468
1573,46359.0955678951,65378.8597415815,88168.2986793076,143155.85568808,138499.054479875,122844.783913757,31879.5620182489,131383.139700083,113943.72916587,78342.2603113866,41362.1042935002,107746.90133885,57843.9907643788,49277.1399922068,64346.4575081997,70536.1440704914,93845.2496476696,100207.341591564,132537.946439329,143236.649875533,151969.990011901,155690.901170164,126169.459989186,116917.678460688,165595.582873311,183941.023078161,29501.9193195258,44864.15681289,642785.039029234,8150638.66989109,0.7827261110415
1574,43143.5685196276,62163.332693314,84952.7716310401,139940.328639813,135283.527431608,119629.25686549,28664.0349699814,128167.612651816,110728.202117603,75126.7332631191,38146.5772452327,104531.374290583,54628.4637161112,46061.6129439392,61130.9304599322,67320.6170222239,90629.7225994021,96991.8145432961,129322.419391061,140021.122827266,148754.462963634,152475.374121896,122953.932940918,113702.151412421,162380.055825044,180725.496029894,26286.3922712583,41648.6297646225,645905.991752552,8150638.66989109,0.729964761856279
1575,40398.9445050345,59418.7086787209,82208.1476164471,137195.70462522,132538.903417015,116884.632850897,25919.4109553883,125422.988637223,107983.57810301,72382.109248526,35401.9532306395,101786.75027599,51412.9366678437,42846.0858956717,57915.4034116646,64105.0899739564,87414.1955511346,93776.2874950286,126106.892342794,136805.595778998,145538.935915367,149259.847073629,119738.405892651,110486.624364153,159164.528776777,177509.968981626,23070.8652229908,38433.1027163549,649026.944475871,8150638.66989109,0.907886257102413
1576,39233.5189556608,58253.2831293472,81042.7220670735,136030.279075846,131373.477867641,115719.207301523,24753.9854060146,124257.563087849,106818.152553636,71216.6836991523,34236.5276812659,100621.324726616,48599.3505006096,40032.4997284376,55101.8172444306,61291.5038067223,84600.6093839005,90962.7013277947,123293.30617556,133992.009611764,142725.349748133,146446.260906395,116924.819725417,107673.038196919,156350.942609543,174696.382814392,20257.2790557567,35619.5165491208,652147.897199189,8150638.66989109,0.904155926197973
1577,37901.6040420909,56921.3682157773,79710.8071535037,134698.364162276,130041.562954071,114387.292387953,23422.0704924447,122925.648174279,105486.237640067,69884.7687855825,32904.612767696,99289.4098130462,45854.7264860165,37287.8757138445,52357.1932298374,58546.8797921292,81855.9853693075,88218.0773132015,120548.682160967,131247.385597171,139980.725733539,143701.636891802,114180.195710824,104928.414182326,153606.31859495,171951.758799799,17198.7196853807,32874.8925345277,655268.849922508,8150638.66989109,0.937392276077691
1603,79070.9642609879,63128.8028302873,37582.9078431555,34778.7032160886,30121.9020078836,4075.31368084064,100165.450980879,11839.8462809735,13232.018492428,54073.3670377452,86579.4383816463,21560.4597390596,159749.692046109,151182.841273938,166252.15878993,172441.845352222,195750.9509294,202113.042873294,234058.159571853,229028.378934666,225646.362522202,217828.713888913,228075.161270916,218823.379742418,207992.994338406,193551.687680116,129210.073110776,146769.858094621,736413.620728788,8150638.66989109,1.29297535809532
1604,80402.8791745578,64460.7177438572,38914.8227567254,33446.7883025187,28789.9870943137,7231.97784989885,101497.365894448,8624.31923270601,16447.5455406955,55405.2819513152,87911.3532952161,24775.9867873271,161081.606959679,152514.756187507,167584.0737035,173773.760265792,197082.86584297,203444.957786863,234502.13120971,227696.464021096,224314.447608632,216496.798975343,229407.076184486,220155.294655988,206661.079424836,192219.772766546,130541.988024346,148101.773008191,739534.573452107,8150638.66989109,1.27087441271897
1605,82039.2077576059,66097.0463269053,40551.1513397735,32281.3627531451,27624.5615449401,10045.5640171329,103133.694477496,6219.40679545982,19261.1317079296,57041.6105343632,89547.6818782642,27589.5729545612,162717.935542727,154151.084770555,169220.402286548,175410.08884884,198719.194426018,205081.286369911,235204.541748617,226531.038471722,223149.022059259,215331.37342597,231043.404767534,221791.623239036,205495.653875462,191054.347217173,132178.316607394,149738.101591239,742655.526175425,8150638.66989109,1.37594439849887
1633,70114.0046425947,89133.7688162809,111923.207754007,166910.764762779,162253.963554574,146599.692988457,55634.4710929486,155138.048774782,137698.63824057,102097.169386086,65117.0133681998,131501.81041355,83929.7509378257,75362.9001656538,90432.2176816466,96621.9042439382,119931.009821117,126293.101765011,158623.706612775,169322.41004898,178055.750185348,181776.66134361,152255.220162632,143003.438634135,191681.343046758,210026.783251608,55587.6794929729,70949.9169863371,617817.417242686,8147497.92254162,0.682208087397566
1634,66898.4775943272,85918.2417680134,108707.68070574,163695.237714512,159038.436506307,143384.165940189,52418.944044681,151922.521726515,134483.111192303,98881.6423378185,61901.4863199323,128286.283365282,80714.2238895582,72147.3731173863,87216.6906333791,93406.3771956707,116715.482772849,123077.574716743,155408.179564508,166106.883000712,174840.22313708,178561.134295343,149039.693114365,139787.911585867,188465.81599849,206811.25620334,52372.1524447054,67734.3899380696,620938.369966005,8147497.92254162,0.717256352609553
1635,64084.8914270931,83104.6556007793,105894.094538505,160881.651547278,156224.850339073,140570.579772955,49605.3578774469,149108.935559281,131669.525025069,96068.0561705844,59087.9001526982,125472.697198048,77900.6377223242,69333.7869501523,84403.104466145,90592.7910284367,113901.896605615,120263.988549509,152594.593397274,163293.296833478,172026.636969846,175747.548128109,146226.106947131,136974.325418633,185652.229831256,203997.670036106,49558.5662774713,64920.8037708355,624059.322689323,8147497.92254162,0.757329034716888
1636,60869.3643788256,79889.1285525118,102678.567490238,157666.12449901,153009.323290805,137355.052724688,46389.8308291794,145893.408511014,128453.997976801,92852.5291223169,55872.3731044307,122257.170149781,74685.1106740567,66118.2599018848,81187.5774178775,87377.2639801692,110686.369557347,117048.461501241,149379.066349006,160077.769785211,168811.109921579,172532.021079841,143010.579898863,133758.798370366,182436.702782989,200782.142987839,46343.0392292037,61705.276722568,627180.275412642,8147497.92254162,0.849918480214586
1637,57653.837330558,76673.6015042444,99463.0404419705,154450.597450743,149793.796242538,134139.52567642,43174.3037809118,142677.881462746,125238.470928534,89637.0020740495,52656.8460561631,119041.643101513,71469.5836257892,62902.7328536172,77972.05036961,84161.7369319017,107470.84250908,113832.934452974,146163.539300739,156862.242736943,165595.582873311,169316.494031574,139795.052850596,130543.271322099,179221.175734721,197566.615939571,43127.5121809362,58489.7496743005,630301.22813596,8147497.92254162,0.805549396586292
1638,54438.3102822905,73458.0744559768,96247.513393703,151235.070402475,146578.26919427,130923.998628153,39958.7767326443,139462.354414479,122022.943880266,86421.4750257819,49441.3190078956,115826.116053246,68254.0565775217,59687.2058053497,74756.5233213425,80946.2098836342,104255.315460812,110617.407404706,142948.012252471,153646.715688676,162380.055825044,166100.966983306,136579.525802329,127327.744273831,176005.648686454,194351.088891304,39911.9851326687,55274.2226260329,633422.180859279,8147497.92254162,0.809442954693887
1639,51624.7241150564,70644.4882887428,93433.9272264689,148421.484235241,143764.683027036,128110.412460919,37145.1905654102,136648.768247245,119209.357713032,83607.8888585478,46627.7328406615,113012.529886011,65440.4704102876,56873.6196381156,71942.9371541084,78132.6237164001,101441.729293578,107803.821237472,140134.426085237,150833.129521442,159566.46965781,163287.380816072,133765.939635095,124514.158106597,173192.06251922,191537.50272407,37098.3989654346,52460.6364587988,636543.133582597,8147497.92254162,0.794046562736718
1640,48409.1970667889,67428.9612404753,90218.4001782014,145205.957186974,140549.155978769,124894.885412651,33929.6635171427,133433.241198977,115993.830664764,80392.3618102803,43412.205792394,109797.002837744,62224.9433620201,53658.0925898481,68727.4101058409,74917.0966681326,98226.2022453108,104588.294189205,136918.89903697,147617.602473174,156350.942609543,160071.853767805,130550.412586827,121298.631058329,169976.535470953,188321.975675803,33882.8719171671,49245.1094105313,639664.086305915,8147497.92254162,0.789437598898372
1642,41978.1429702538,60997.9071439402,83787.3460816664,138774.903090439,134118.101882234,118463.831316116,27498.6094206076,127002.187102442,109562.776568229,73961.3077137454,36981.1516958589,103365.948741209,55793.889265485,47227.038493313,62296.3560093059,68486.0425715976,91795.1481487758,98157.2400926699,130487.844940435,141186.54837664,149919.888513008,153640.79967127,124119.358490292,114867.576961794,163545.481374418,181890.921579268,27451.817820632,42814.0553139962,645905.991752552,8147497.92254162,0.80387201083488
